0.0,0,0,0,0,0,0,0,0
0.25,1273,4,3,3,1238,5,2,2
0.5,2474,8,7,7,2500,11,3,3
0.75,3754,19,10,10,3811,21,6,6
1.0,5017,24,12,12,5068,27,8,8
1.25,6322,30,16,16,6328,38,11,11
1.5,7514,39,16,16,7562,46,13,13
1.75,8788,49,22,22,8798,57,17,17
2.0,10060,55,26,26,10021,67,21,21
2.25,11302,63,27,27,11213,71,21,21
2.5,12523,64,30,30,12423,80,25,25
2.75,13760,71,33,33,13693,84,26,26
3.0,15043,83,36,37,14962,96,29,29
3.25,16315,87,43,45,16222,103,33,34
3.5,17562,90,51,53,17483,110,34,35
3.75,18797,99,61,63,18737,121,36,37
4.0,19992,106,63,66,19977,127,38,39
4.25,21193,109,69,72,21188,132,40,41
4.5,22397,115,74,78,22439,139,44,45
4.75,23676,125,77,82,23623,148,50,51
5.0,24907,128,80,86,24970,159,52,54
5.25,26120,136,86,92,26252,169,56,58
5.5,27411,140,90,98,27463,176,59,62
5.75,28676,149,90,98,28694,184,61,64
